brand,categories,colorway,deadstock_sold,gender,style_id,thumbnail_url,url
Nike,"['Air Max', '95']",Wolf Grey/White-Team Orange-Black,20,men,812560-081,"https://stockx.imgix.net/Nike-Air-Max-95-Lebron-12-Low.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",air-max-95-lebron-12-low
Nike,"['LeBron', 'Nine']",Action Red/Black-White-New Green,19,men,510811-601,"https://stockx.imgix.net/Nike-Lebron-9-Low-Liverpool.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-liverpool
Nike,"['LeBron', 'Nine']",Vivid Orange/Cherry,15,men,510811-800,"https://stockx.imgix.net/Nike-Lebron-9-Low-Floridians.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-floridians
Nike,"['LeBron', 'Nine']",Dark Grey/Mint Candy-Cool Grey-New Green,15,men,510811-001,"https://stockx.imgix.net/Nike-Lebron-9-Low-Easter.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-easter
Nike,"['LeBron', 'Nine']",Wolf Grey/Mnt Cndy-Nw Grn-Pnk Fl,15,child,472664-006,"https://stockx.imgix.net/Nike-LeBron-9-South-Beach-GS.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-south-beach-gs
Nike,"['LeBron', 'Nine']",Turquoise Blue/Court Purple,15,men,510811-400,"https://stockx.imgix.net/Nike-Lebron-9-Low-Summit-Lake-Hornets.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-summit-lake-hornets
Nike,"['LeBron', 'Nine']",Midnight Fog/Black (BHM),14,men,530962-001,"https://stockx.imgix.net/Nike-Lebron-9-Black-History-Month-BHM.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-black-history-month
Nike,"['LeBron', 'Nine']",Wolf Grey/White-Dynamic Blue-Fireberry,12,men,510811-002,"https://stockx.imgix.net/Nike-Lebron-9-Low-Fireberry.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-fireberry
Nike,"['LeBron', 'Nine']",Black Anthracite,10,men,469764-001,"https://stockx.imgix.net/Nike-Lebron-9-Triple-Black.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-triple-black
Nike,"['LeBron', 'Nine']",Varsity Royal/White-Black,9,men,469764-400,"https://stockx.imgix.net/Nike-Lebron-9-Kentucky.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-kentucky
Nike,"['LeBron', 'Nine']",White/Obsidian Red-University Red,7,men,510811-101,"https://stockx.imgix.net/Nike-Lebron-9-Low-USA-Olympics.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-usa-olympic
Nike,"['LeBron', 'Zoom Soldier']",Vivid Pink/White-Pink Pow,6,men,749417-601,"https://stockx.imgix.net/Nike-LeBron-Zoom-Soldier-9-Think-Pink.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-zoom-soldier-9-think-pink
Nike,"['LeBron', 'Nine']",Ttl Orng/Metallic Silver-Team Orng-Mn,3,child,472664-800,"https://stockx.imgix.net/Lebron-9-Big-Bang-AS-GS.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551301680",lebron-9-big-bang-as-gs
Nike,"['LeBron', 'Nine']",Black/White-Cool Grey-Sport Red,3,men,510811-003,"https://stockx.imgix.net/Nike-LeBron-9-Low-Bred.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-9-low-bred
Nike,"['LeBron', 'Fifteen']",Cool Grey/Neon Yellow,2,men,AR4831-001,"https://stockx.imgix.net/Nike-LeBron-15-Air-Max-95.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-15-air-max-95-hoh
Nike,"['LeBron', 'Other']",White/Game Royal-Metallic Silver,1,men,749490-104,"https://stockx.imgix.net/Nike-LeBron-Soldier-9-Kentucky.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1550626372",nike-lebron-soldier-9-kentucky
Nike,"['LeBron', 'Nine']",sport red/white-wolf grey,1,men,469764-601,"https://stockx.imgix.net/Nike-Lebron-9-Ohio-State.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-ohio-state
Nike,"['LeBron', 'Nine']",White / White-Black-Sport Red,1,men,469764-100,"https://stockx.imgix.net/Nike-Lebron-9-Miami-Heat-Home.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-miami-heat-home
Nike,"['LeBron', 'Nine']",,1,men,PE,"https://stockx.imgix.net/Nike-Lebron-9-Low-LeBronald-Palmer.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-lebronald-palmer
Nike,"['LeBron', 'Other']",Black/White-Blue Lagoon-Laser Orange,1,men,749417-014,"https://stockx.imgix.net/Nike-LeBron-Zoom-Soldier-9-Blue-Lagoon.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-zoom-soldier-9-blue-lagoon
Nike,"['LeBron', 'Nine']",Game Royal/University Gold-Midnight Navy,1,men,510811-402,"https://stockx.imgix.net/Nike-LeBron-9-Low-Entourage.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-9-low-entourage
Nike,"['LeBron', 'Nine']",Team Red/Wolf Grey-Challenge Red-Total Crimson,1,men,510811-600,"https://stockx.imgix.net/LeBron-9-Low-Cherry.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-9-low-cherry
Nike,"['LeBron', 'Nine']",University Red/Black-White,1,men,HO11-MNBSKT-233-333480,"https://stockx.imgix.net/Nike-LeBron-9-Shooting-Stars-PE.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-9-shooting-stars-pe
Nike,"['LeBron', 'Nine']",Cool Grey/White-Metallic Silver,1,child,472664-005,"https://stockx.imgix.net/Nike-LeBron-9-Cool-Grey-GS.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-9-cool-grey-gs
Nike,"['LeBron', 'Zoom Soldier']",Black/Medium Olive Green-Green Bamboo,23,men,844378-022,"https://stockx.imgix.net/Nike-Lebron-Zoom-Soldier-10-SFG-Camo.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-zoom-soldier-10-sfg-camo
Nike,"['LeBron', 'Ten']",Bright Mango/Bright Mango-Gamma Green,22,men,579765-801,"https://stockx.imgix.net/Nike-Lebron-X-10-Low-Watermelon.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-low-watermelon
Nike,"['LeBron', 'Ten']",Red Plum/Electric Green; Rasbperry Red/Court Purple-Flash Lime,20,men,579765-601,"https://stockx.imgix.net/Nike-Lebron-X-10-Low-Lebroncurial.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-low-lebroncurial
Nike,"['LeBron', 'Other']",Pink Blast/Black-Vivid Pink,3,men,844374-606,"https://stockx.imgix.net/Nike-LeBron-Zoom-Soldier-10-Think-Pink.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-zoom-soldier-10-think-pink
